source_id,target_id,relationship_type,strength,co_mention_count,roles
1d20a27c-3fd0-438a-b62a-0b783ed1751b,50c331e2-3b97-456f-ab60-3dd7d7a8b602,co_mentioned,0.6,6,subject|location
50c331e2-3b97-456f-ab60-3dd7d7a8b602,dbab680d-1269-4a6b-8850-576015bc8c2a,co_mentioned,0.6,6,subject|location
193f4769-6fe4-4912-bad1-76edc2c6d5fb,1d20a27c-3fd0-438a-b62a-0b783ed1751b,co_mentioned,0.6,6,subject|location
193f4769-6fe4-4912-bad1-76edc2c6d5fb,dbab680d-1269-4a6b-8850-576015bc8c2a,co_mentioned,0.6,6,subject|location
b54fb823-af15-4705-9c4e-304f1070c966,f9a5703f-3b0b-4568-98ab-c40ca8e82bec,co_mentioned,0.4,4,subject|object
3f706d55-fc66-40e9-a450-8e235ea61fb5,f9a5703f-3b0b-4568-98ab-c40ca8e82bec,co_mentioned,0.2,2,subject|object
50c331e2-3b97-456f-ab60-3dd7d7a8b602,b54fb823-af15-4705-9c4e-304f1070c966,co_mentioned,0.5,5,subject|object
50c331e2-3b97-456f-ab60-3dd7d7a8b602,64d5f279-8a80-4dc6-ad46-30899381eb0d,co_mentioned,0.3,3,subject|object
3f706d55-fc66-40e9-a450-8e235ea61fb5,50c331e2-3b97-456f-ab60-3dd7d7a8b602,co_mentioned,0.3,3,subject|object
193f4769-6fe4-4912-bad1-76edc2c6d5fb,b54fb823-af15-4705-9c4e-304f1070c966,co_mentioned,0.3,3,subject|object
193f4769-6fe4-4912-bad1-76edc2c6d5fb,64d5f279-8a80-4dc6-ad46-30899381eb0d,co_mentioned,0.3,3,subject|object
193f4769-6fe4-4912-bad1-76edc2c6d5fb,3f706d55-fc66-40e9-a450-8e235ea61fb5,co_mentioned,0.3,3,subject|object
5aaed6b3-9547-491e-a52e-e44a5be4afac,7b4acb3c-a308-4823-ab55-4871a42310e9,co_mentioned,0.4,4,subject|location
7b4acb3c-a308-4823-ab55-4871a42310e9,f9a5703f-3b0b-4568-98ab-c40ca8e82bec,co_mentioned,0.8,8,subject|location
23c02556-99ad-451a-87fc-9dc5a9af19ad,5aaed6b3-9547-491e-a52e-e44a5be4afac,co_mentioned,0.4,4,subject|object
5aaed6b3-9547-491e-a52e-e44a5be4afac,da57fbf6-a908-4c2a-a292-07d3f8daa7c1,co_mentioned,0.4,4,subject|object
39826be2-0010-4a43-94f0-9a6254dffba0,5aaed6b3-9547-491e-a52e-e44a5be4afac,co_mentioned,0.4,4,subject|object
23c02556-99ad-451a-87fc-9dc5a9af19ad,f9a5703f-3b0b-4568-98ab-c40ca8e82bec,co_mentioned,0.4,4,subject|object
da57fbf6-a908-4c2a-a292-07d3f8daa7c1,f9a5703f-3b0b-4568-98ab-c40ca8e82bec,co_mentioned,0.4,4,subject|object
39826be2-0010-4a43-94f0-9a6254dffba0,f9a5703f-3b0b-4568-98ab-c40ca8e82bec,co_mentioned,0.6,6,subject|object
a783e21e-51bf-4602-a00f-c6b55b071033,f9a5703f-3b0b-4568-98ab-c40ca8e82bec,co_mentioned,0.4,4,subject|location
5aaed6b3-9547-491e-a52e-e44a5be4afac,a783e21e-51bf-4602-a00f-c6b55b071033,co_mentioned,0.4,4,subject|location
0d736b10-c1e0-4c2a-aca6-15f70fb459d6,312e0f76-97a0-4984-ab4c-3c0a7093b684,co_mentioned,0.4,4,subject|location
0d736b10-c1e0-4c2a-aca6-15f70fb459d6,a783e21e-51bf-4602-a00f-c6b55b071033,co_mentioned,0.4,4,subject|location
0d736b10-c1e0-4c2a-aca6-15f70fb459d6,23c02556-99ad-451a-87fc-9dc5a9af19ad,co_mentioned,0.2,2,subject|object
0d736b10-c1e0-4c2a-aca6-15f70fb459d6,da57fbf6-a908-4c2a-a292-07d3f8daa7c1,co_mentioned,0.2,2,subject|object
0d736b10-c1e0-4c2a-aca6-15f70fb459d6,39826be2-0010-4a43-94f0-9a6254dffba0,co_mentioned,0.2,2,subject|object
06f02832-8701-47a3-b77f-47ef036ac773,6144ca56-9b31-4237-8fdb-c7854dd56478,co_mentioned,0.5,5,subject|location
6144ca56-9b31-4237-8fdb-c7854dd56478,7b4acb3c-a308-4823-ab55-4871a42310e9,co_mentioned,0.2,2,subject|location
06f02832-8701-47a3-b77f-47ef036ac773,9201f1d5-3afb-4caf-9ec7-c37a0c3f2da5,co_mentioned,0.4,4,subject|location
7b4acb3c-a308-4823-ab55-4871a42310e9,9201f1d5-3afb-4caf-9ec7-c37a0c3f2da5,co_mentioned,0.2,2,subject|location
a001ca5d-989b-4fa9-a9ee-64146f533477,f9a5703f-3b0b-4568-98ab-c40ca8e82bec,co_mentioned,0.2,2,subject|object
39fc74b7-4287-4292-b843-194e8b3221b3,f9a5703f-3b0b-4568-98ab-c40ca8e82bec,co_mentioned,0.1,1,subject|object
39826be2-0010-4a43-94f0-9a6254dffba0,6144ca56-9b31-4237-8fdb-c7854dd56478,co_mentioned,0.2,2,subject|object
6144ca56-9b31-4237-8fdb-c7854dd56478,a001ca5d-989b-4fa9-a9ee-64146f533477,co_mentioned,0.2,2,subject|object
39fc74b7-4287-4292-b843-194e8b3221b3,6144ca56-9b31-4237-8fdb-c7854dd56478,co_mentioned,0.1,1,subject|object
39826be2-0010-4a43-94f0-9a6254dffba0,9201f1d5-3afb-4caf-9ec7-c37a0c3f2da5,co_mentioned,0.2,2,subject|object
9201f1d5-3afb-4caf-9ec7-c37a0c3f2da5,a001ca5d-989b-4fa9-a9ee-64146f533477,co_mentioned,0.2,2,subject|object
39fc74b7-4287-4292-b843-194e8b3221b3,9201f1d5-3afb-4caf-9ec7-c37a0c3f2da5,co_mentioned,0.1,1,subject|object
d4bd2537-4b75-42dd-a9db-99300201fe09,f9a5703f-3b0b-4568-98ab-c40ca8e82bec,co_mentioned,0.2,2,subject|location
